name;babycount
ABBY;505
ABIGAELLE;664
ABIGAIL;793
ADELE;1517
ADRIANA;612
AGATHE;726
ALESSIA;566
ALEXA;992
ALEXANDRA;12542
ALEXANDRINE;633
ALEXANE;798
ALEXANNE;909
ALEXE;516
ALEXIA;4042
ALEXIE;688
ALICE;5466
ALICIA;4765
ALISON;885
ALLISON;845
ALLYSON;785
ALYCIA;1852
ALYSON;2012
ALYSSA;2229
ALYSSIA;698
AMANDA;3487
AMELIA;2598
AMELIE;11654
AMINA;650
AMIRA;504
ANABEL;732
ANABELLE;1896
ANAIS;3766
ANASTASIA;667
ANDREA;2427
ANDREANE;745
ANDREANNE;4310
ANDREE ANNE;1697
ANGELA;1038
ANGELINA;787
ANGELIQUE;1320
ANGIE;612
ANICK;890
ANIK;629
ANNA;1954
ANNABELLE;4657
ANNE;2535
ANNE MARIE;3260
ANNE-MARIE;837
ANNE SOPHIE;1116
ANNE-SOPHIE;1367
ANNICK;2111
ANNIE;7299
ANNIE CLAUDE;668
ANNIK;529
ANOUK;715
ARIANE;7716
ARIANNE;2720
ARIEL;770
ARIELLE;1560
ASHLEY;1953
AUDREE;738
AUDREY;16552
AUDREY ANN;582
AUDREY-ANN;589
AUDREY ANNE;761
AUDREY-ANNE;704
AURELIE;3096
BEATRICE;4318
BIANCA;3357
BIANKA;821
BRIANNA;730
BRIGITTE;893
BRITANY;686
BRITTANY;771
CAMELIA;618
CAMILLE;11358
CARINE;602
CAROLANE;1794
CAROL ANN;660
CAROLANNE;978
CAROLINE;13062
CAROLYNE;632
CASSANDRA;2944
CASSANDRE;710
CATHERINE;19841
CATHY;1379
CELESTE;510
CELINE;812
CHANEL;607
CHANTAL;2085
CHARLENE;714
CHARLIE;3874
CHARLOTTE;5756
CHELSEA;858
CHLOE;8242
CHRISTELLE;865
CHRISTINA;3106
CHRISTINE;4482
CINDY;4758
CLAIRE;605
CLARA;3474
CLAUDIA;4730
CLAUDIE;1290
CLAUDINE;932
CLEMENCE;864
CLOE;1572
CONSTANCE;659
CORALIE;4571
CORINNE;1114
CRISTINA;535
CYNTHIA;7305
DAHLIA;527
DALIA;572
DANIELA;591
DANIELLE;955
DANIKA;748
DAPHNE;2316
DAPHNEE;3475
DELPHINE;2216
DIANA;994
DOMINIQUE;2145
EDITH;986
ELENA;1216
ELEONORE;993
ELIANA;532
ELIANE;2902
ELIE;508
ELISA;780
ELISABETH;3728
ELISE;1928
ELIZABETH;5994
ELLA;726
ELLIE;840
ELODIE;4705
ELOISE;2884
ELSA;928
ELYSE;971
EMIE;691
EMILIA;531
EMILIE;16836
EMILY;3392
EMMA;7088
EMMANUELLE;2932
EMMY;1417
ERICA;762
ERIKA;2995
ESTELLE;1035
ESTHER;1198
EUGENIE;768
EVELYNE;2147
FANNIE;764
FANNY;2739
FATIMA;807
FELICIA;1065
FLAVIE;1753
FLORENCE;8295
FRANCE;538
FRANCESCA;724
FREDERIQUE;4390
GABRIELA;583
GABRIELLA;1079
GABRIELLE;12279
GAELLE;677
GENEVIEVE;12770
GRACE;601
HANNAH;711
HEIDI;901
HELENE;1617
HIBA;548
IMANE;581
INES;958
ISABELLA;1247
ISABELLE;12020
JACINTHE;1246
JACYNTHE;516
JADE;8927
JANIE;1744
JASMINE;3792
JEANNE;2895
JENNA;510
JENNIFER;5956
JENNY;1297
JENNYFER;620
JESSICA;16739
JESSIE;1768
JESSIKA;1235
JESSY;929
JOANIE;5250
JOANNIE;2383
JOELLE;2234
JOHANIE;519
JOHANNE;513
JOHANNIE;600
JOSEE;2622
JOSIANE;2052
JOSIANNE;2061
JUDITH;1473
JULIA;3522
JULIANA;521
JULIANNE;1784
JULIE;15769
JULIETTE;5836
JUSTINE;5791
KAREN;1237
KARIANNE;586
KARINA;1093
KARINE;12303
KAROLANE;852
KASSANDRA;1711
KATE;971
KATHERINE;3197
KATHLEEN;1668
KATHY;1409
KATIA;954
KATRINA;611
KATY;948
KAYLA;2378
KELLY;2335
KELLY-ANN;1333
KIMBERLY;1336
KORALIE;605
KRISTINA;852
KRYSTEL;881
LAETITIA;604
LARA;889
LAURA;3659
LAURALIE;636
LAUREN;720
LAURENCE;10594
LAURIANE;1053
LAURIANNE;2008
LAURIE;7825
LAURIE-ANNE;526
LAURY;691
LAYLA;944
LEAH;1075
LEANE;1068
LEANNE;2360
LEA-ROSE;962
LEILA;1190
LENA;525
LEONIE;2677
LEXIE;600
LILIANE;681
LILY;1317
LILY-ROSE;1393
LINA;1825
LINDA;708
LINDSAY;601
LISA;1698
LIVIA;1727
LORIE;1000
LOUISE;573
LUCIE;1102
LYDIA;2923
LYNA;507
MADELEINE;719
MADISON;1071
MAELIE;2730
MAELLE;1071
MAELY;1004
MAEVA;2891
MAGALI;652
MAGALIE;2565
MAGGIE;889
MAHEE;529
MAIKA;3422
MALAK;767
MALIKA;619
MANON;978
MARGUERITE;1052
MARIA;2563
MARIAM;870
MARIANE;1122
MARIANNE;6608
MARIE;3122
MARIE ANDREE;1244
MARIE ANNE;536
MARIE CHRISTINE;700
MARIE CLAUDE;4041
MARIE EVE;12007
MARIE-EVE;2037
MARIE FRANCE;1236
MARIE HELENE;2236
MARIE JOSEE;2127
MARIE LOU;654
MARIE MICHELE;1282
MARIE PIER;7677
MARIE-PIER;1674
MARIE PIERRE;1162
MARIE SOLEIL;1251
MARIE-SOLEIL;1094
MARIEVE;512
MARIKA;1358
MARILOU;3763
MARILYN;1978
MARILYNE;1565
MARINA;848
MARION;885
MARJOLAINE;841
MARJORIE;1570
MARTINE;2453
MARWA;516
MARYAM;636
MARYLOU;959
MARYSE;1774
MATHILDE;3217
MAUDE;10082
MAXIM;1056
MAXIME;854
MAYA;3304
M CHRISTINE;1424
MEGAN;5016
MEGANE;4671
MEGHAN;630
MELANIE;13113
MELINA;2560
MELISSA;14285
MELODIE;3752
MELODY;1385
MELYNA;505
MICHELE;996
MICHELLE;2162
MILA;1440
MIREILLE;1501
MIRIAM;703
MOLLY;775
MONICA;672
MORGANE;565
MYLENE;3852
MYRIAM;7723
NADA;630
NADIA;2739
NADINE;1125
NANCY;3777
NAOMI;1592
NAOMIE;2156
NAOMY;597
NATACHA;1502
NATALIE;639
NATASHA;1376
NATHALIE;3242
NELLY;675
NICOLE;1087
NINA;540
NOEMIE;9054
NOEMY;711
NORA;548
NOUR;763
OCEANE;3347
OCEANNE;1927
OLIVIA;5725
OPHELIE;1483
PAMELA;2224
PASCALE;2523
PATRICIA;3866
PENELOPE;1482
PRISCILLA;810
RACHEL;3261
RAFAELLE;620
RANIA;580
RAPHAELLE;3596
REBECCA;3510
RITA;547
ROMANE;789
ROMY;1558
ROSALIE;7787
ROSE;3618
ROSEMARIE;637
ROXANE;2347
ROXANNE;7097
SABRINA;11161
SALMA;824
SAMANTHA;3539
SANDRA;4456
SANDRINE;3218
SANDY;1014
SARA;5360
SARAH;14328
SARAH-MAUDE;1086
SELENA;762
SERENA;594
SHANNON;637
SIMONE;1095
SOFIA;3592
SONIA;2756
SOPHIA;2376
SOPHIE;10348
STACY;622
STEFANIE;769
STELLA;1138
STEPHANIE;21338
SUZIE;567
SYLVIE;1048
TAMARA;943
TANIA;2373
TANYA;2114
TARA;509
TATIANA;568
TIFFANY;976
TINA;675
VALENTINA;538
VALERIE;15434
VALERY;501
VANESSA;10837
VERONICA;658
VERONIQUE;10866
VICKIE;589
VICKY;4117
VICTORIA;5028
VIRGINIE;3037
VIVIANE;864
YASMINE;2312
